variable,label,H,df,p,p_label,epsilon_squared,n,stale_H,H_diff,stale_epsilon_squared,epsilon_squared_diff
conjunction_density,Conjunction density,2674.2392092266928,2,0.0,< .001,0.011205038083777583,238665,342.57,2331.6692092266926,0.0014,0.009805038083777582
parataxis_density,Parataxis density,620.1738291948072,2,2.1427133721352924e-135,< .001,0.0025985227315171422,238665,73.04,547.1338291948073,0.0003,0.0022985227315171423
hypotaxis_density,Hypotaxis density,3944.2171895832103,2,0.0,< .001,0.016526234327687503,238665,2516.89,1427.3271895832104,0.0105,0.006026234327687502
extension_density,Extension density,245.13034466202822,2,5.896875831987697e-54,< .001,0.001027093925611019,238665,48.49,196.6403446620282,0.0002,0.000827093925611019
enhancement_density,Enhancement density,2813.4601976752992,2,0.0,< .001,0.01178837276537433,238665,2346.74,466.72019767529946,0.0098,0.0019883727653743303
elaboration_density,Elaboration density,7086.487263618559,2,0.0,< .001,0.029692317499155966,238665,1090.91,5995.577263618559,0.0046,0.025092317499155966
