corpus,feature_set,n_texts,n_classes,n_features,class_counts,baseline_macro_f1,baseline_macro_f1_sd,baseline_balanced_accuracy,baseline_balanced_accuracy_sd,baseline_accuracy,baseline_accuracy_sd,rf_macro_f1,rf_macro_f1_sd,rf_balanced_accuracy,rf_balanced_accuracy_sd,rf_accuracy,rf_accuracy_sd
COREFL,Totals,982,6,3,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.208,0.021,0.211,0.018,0.26,0.015
COREFL,Macro,982,6,9,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.209,0.009,0.208,0.008,0.251,0.011
COREFL,All normalized,982,6,62,A1:45; A2:135; B1:213; B2:266; C1:231; C2:92,0.071,0.001,0.167,0.0,0.271,0.003,0.247,0.031,0.247,0.027,0.307,0.023
EFCAMDAT,Totals,232565,5,2,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.411,0.003,0.404,0.002,0.611,0.001
EFCAMDAT,Macro,232565,5,6,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.459,0.002,0.444,0.002,0.621,0.001
EFCAMDAT,All normalized,232565,5,64,A1:32831; A2:117986; B1:60390; B2:18162; C1:3196,0.135,0.0,0.2,0.0,0.507,0.0,0.484,0.003,0.459,0.002,0.634,0.002
GiG,Totals,2371,5,3,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.268,0.02,0.273,0.021,0.333,0.021
GiG,Macro,2371,5,9,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.347,0.014,0.351,0.016,0.422,0.015
GiG,All normalized,2371,5,64,2:295; 4:33; 6:811; 9:722; 11:510,0.102,0.0,0.2,0.0,0.342,0.001,0.414,0.026,0.42,0.027,0.506,0.033
