corpus,feature_set,n,n_classes,n_features,baseline_macro_f1,baseline_balanced_accuracy,baseline_accuracy,rf_macro_f1,rf_macro_f1_sd,rf_balanced_accuracy,rf_balanced_accuracy_sd,rf_accuracy,rf_accuracy_sd
COREFL,totals,435,6,3,0.069,0.167,0.26,0.194,0.025,0.197,0.021,0.255,0.017
COREFL,macro,435,6,9,0.069,0.167,0.26,0.218,0.057,0.215,0.051,0.253,0.048
COREFL,all_normalized,435,6,104,0.069,0.167,0.26,0.209,0.023,0.224,0.02,0.306,0.023
EFCAMDAT,totals,69744,5,2,0.113,0.2,0.393,0.422,0.005,0.493,0.007,0.48,0.007
EFCAMDAT,macro,69744,5,6,0.113,0.2,0.393,0.442,0.002,0.482,0.003,0.527,0.004
EFCAMDAT,all_normalized,69744,5,80,0.113,0.2,0.393,0.513,0.001,0.504,0.001,0.651,0.002
GiG,totals,1012,5,3,0.102,0.2,0.341,0.275,0.024,0.271,0.022,0.364,0.028
GiG,macro,1012,5,9,0.102,0.2,0.341,0.489,0.057,0.465,0.037,0.515,0.025
GiG,all_normalized,1012,5,116,0.102,0.2,0.341,0.53,0.039,0.513,0.029,0.617,0.024
