corpus,discourse_level,total_importance,mean_importance,n_positive_features
COREFL,intra-sentential,0.19387975914098954,0.012117484946311846,16
COREFL,inter-sentential,0.10371390897986485,0.00864282574832207,12
COREFL,inter-paragraph,0.08543702753208274,0.007767002502916612,11
EFCAMDAT,inter-sentential,0.09951060570830451,0.003827330988780943,26
EFCAMDAT,intra-sentential,0.09331393324609567,0.003456071601707247,27
GiG,inter-paragraph,0.08079248138330945,0.005386165425553964,15
GiG,intra-sentential,0.053901812178900575,0.003850129441350041,14
GiG,inter-sentential,0.028338439332719668,0.0035423049165899585,8
