text_id,macro_category,n_cases
es_wr_a2_25_1_14_agm,Extension,1
es_wr_a2_26_10_14_isj,Enhancement,2
es_wr_a2_26_10_14_jp,Elaboration,1
es_wr_a2_26_10_3_emam,Enhancement,1
es_wr_a2_26_15_3_prp,Elaboration,1
es_wr_a2_26_15_3_prp,Extension,1
es_wr_a2_30_24_3_imla,Elaboration,1
es_wr_a2_33_1_3_abg,Extension,1
es_wr_a2_33_9_3_avg,Elaboration,1
es_wr_a2_35_28_3_trc,Extension,1
es_wr_a2_37_3_14_bes,Extension,1
es_wr_a2_48_7_14_mg,Enhancement,2
es_wr_a2_48_7_14_mg,Extension,1
es_wr_a2_59_unknown_14_mab,Enhancement,1
es_wr_a2_60_5_3_iapl,Extension,1
es_wr_a2_62_40_14_jrg,Enhancement,1
es_wr_b1_15_11_13_spa,Enhancement,3
es_wr_b1_15_9_13_eag,Enhancement,1
es_wr_b1_17_11_3_psr,Elaboration,1
es_wr_b1_17_11_3_psr,Extension,1
es_wr_b1_18_10_14_jagv,Enhancement,2
es_wr_b1_18_10_3_jclm,Extension,1
es_wr_b1_18_12_13_mtr,Extension,1
es_wr_b1_18_12_14_ijq,Enhancement,1
es_wr_b1_18_13_14_cgg,Enhancement,1
es_wr_b1_18_13_3_acd,Enhancement,1
es_wr_b1_18_13_3_lcf,Enhancement,1
es_wr_b1_18_14_13_sba,Elaboration,1
es_wr_b1_18_14_14_arf,Elaboration,1
es_wr_b1_18_14_14_arf,Enhancement,1
es_wr_b1_18_14_3_lrr,Enhancement,1
es_wr_b1_18_15_3_alc,Enhancement,1
es_wr_b1_18_15_3_ccv,Elaboration,1
es_wr_b1_18_15_3_ccv,Enhancement,1
es_wr_b1_18_15_3_lrr,Extension,1
es_wr_b1_18_15_3_mrv,Elaboration,1
es_wr_b1_18_15_3_mrv,Enhancement,1
es_wr_b1_18_6_3_asm,Elaboration,1
es_wr_b1_19_10_14_mro,Enhancement,1
es_wr_b1_19_11_13_ecl,Enhancement,2
es_wr_b1_19_11_13_irs,Enhancement,1
es_wr_b1_19_13_13_mph,Enhancement,1
es_wr_b1_19_13_14_am,Enhancement,1
es_wr_b1_19_13_3_cbr,Enhancement,1
es_wr_b1_19_13_3_cbr,Extension,1
es_wr_b1_19_13_3_ic,Elaboration,1
es_wr_b1_19_13_3_rgb,Elaboration,1
es_wr_b1_19_14_14_lrs,Elaboration,1
es_wr_b1_19_14_3_cpl,Enhancement,1
es_wr_b1_19_15_3_ahp,Elaboration,1
es_wr_b1_19_15_3_lsm,Enhancement,1
es_wr_b1_19_15_3_r,Enhancement,1
es_wr_b1_19_15_3_r,Extension,1
es_wr_b1_19_16_3_apc,Enhancement,1
es_wr_b1_19_16_3_apc,Extension,1
es_wr_b1_20_10_13_ibf,Elaboration,1
es_wr_b1_20_12_3_sos,Enhancement,1
es_wr_b1_20_14_13_npg,Enhancement,1
es_wr_b1_20_14_13_npg,Extension,1
es_wr_b1_20_14_14_asr,Enhancement,1
es_wr_b1_20_14_14_fmj,Elaboration,1
es_wr_b1_20_14_14_fmj,Enhancement,4
es_wr_b1_20_15_3_pmr,Elaboration,1
es_wr_b1_20_17_14_agm,Elaboration,1
es_wr_b1_21_13_13_moc,Extension,1
es_wr_b1_21_13_13_pjl,Elaboration,1
es_wr_b1_21_13_14_apt,Enhancement,1
es_wr_b1_21_15_3_bsm,Elaboration,1
es_wr_b1_21_15_3_spdlh,Enhancement,1
es_wr_b1_21_16_3_cmg,Extension,1
es_wr_b1_21_16_3_cvm,Elaboration,1
es_wr_b1_21_16_3_mdm,Elaboration,1
es_wr_b1_21_16_3_mnl,Enhancement,1
es_wr_b1_21_17_13_al,Elaboration,1
es_wr_b1_21_17_3_art,Elaboration,1
es_wr_b1_21_18_14_pjl,Elaboration,1
es_wr_b1_21_6_3_arr,Extension,1
es_wr_b1_21_6_3_lgr,Enhancement,1
es_wr_b1_22_16_14_agg,Enhancement,1
es_wr_b1_22_16_3_jaa,Elaboration,1
es_wr_b1_22_16_3_jaa,Extension,1
es_wr_b1_22_16_3_vpj,Elaboration,1
es_wr_b1_22_16_3_vpj,Enhancement,2
es_wr_b1_22_16_3_vpj,Extension,1
es_wr_b1_22_17_13_jla,Elaboration,1
es_wr_b1_23_11_13_elc,Elaboration,1
es_wr_b1_23_11_3_plt,Extension,1
es_wr_b1_23_17_13_ap,Enhancement,3
es_wr_b1_23_17_3_cip,Enhancement,1
es_wr_b1_24_18_14_gb,Enhancement,2
es_wr_b1_24_1_3_eh,Elaboration,1
es_wr_b1_25_10_3_amrh,Extension,1
es_wr_b1_25_20_3_adr,Enhancement,1
es_wr_b1_26_2_3_cme,Enhancement,1
es_wr_b1_26_2_3_cme,Extension,1
es_wr_b1_27_8_13_mhj,Extension,1
es_wr_b1_27_8_3_ajrp,Enhancement,1
es_wr_b1_27_unknown_13_esh,Enhancement,1
es_wr_b1_28_25_14_emgs,Elaboration,1
es_wr_b1_31_26_3_emsh,Extension,1
es_wr_b1_32_26_3_ymm,Elaboration,1
es_wr_b1_44_15_13_ljnv,Enhancement,1
es_wr_b1_45_35_13_er,Enhancement,1
es_wr_b1_46_4_3_ja,Enhancement,1
es_wr_b1_56_1_14_cfo,Enhancement,2
es_wr_b1_57_10_3_rpg,Elaboration,1
es_wr_b1_57_10_3_rpg,Extension,1
es_wr_b2_18_10_14_lcf,Elaboration,1
es_wr_b2_18_10_14_lcf,Enhancement,2
es_wr_b2_18_12_14_lha,Enhancement,1
es_wr_b2_18_12_14_lha,Extension,1
es_wr_b2_18_12_14_psr,Elaboration,1
es_wr_b2_18_12_3_emp,Enhancement,1
es_wr_b2_18_12_3_jmo,Enhancement,1
es_wr_b2_18_12_3_jmo,Extension,2
es_wr_b2_18_12_3_rrg,Enhancement,1
es_wr_b2_18_13_13_cm,Extension,1
es_wr_b2_18_15_3_agm,Enhancement,1
es_wr_b2_19_10_13_jgc,Enhancement,1
es_wr_b2_19_10_13_jgc,Extension,1
es_wr_b2_19_12_3_gsm,Extension,1
es_wr_b2_19_13_13_mbr,Enhancement,1
es_wr_b2_19_13_13_milf,Enhancement,1
es_wr_b2_19_13_14_hga,Extension,1
es_wr_b2_19_13_3_af,Enhancement,1
es_wr_b2_19_13_3_mjmm,Enhancement,1
es_wr_b2_19_14_3_fjpm,Enhancement,1
es_wr_b2_19_14_3_fjpm,Extension,2
es_wr_b2_19_14_3_iga,Extension,1
es_wr_b2_19_15_3_gsl,Elaboration,1
es_wr_b2_19_15_3_gsl,Enhancement,1
es_wr_b2_19_15_3_ycmm,Enhancement,1
es_wr_b2_19_16_3_cnh,Elaboration,1
es_wr_b2_19_17_3_imc,Elaboration,1
es_wr_b2_19_unknown_13_rgc,Extension,1
es_wr_b2_20_10_14_rbg,Elaboration,1
es_wr_b2_20_10_14_rbg,Enhancement,1
es_wr_b2_20_11_13_mms,Elaboration,1
es_wr_b2_20_11_13_mms,Enhancement,1
es_wr_b2_20_12_14_acg,Elaboration,1
es_wr_b2_20_12_14_acg,Enhancement,1
es_wr_b2_20_12_3_nllb,Extension,1
es_wr_b2_20_13_3_pgg,Extension,1
es_wr_b2_20_14_3_hatv,Extension,1
es_wr_b2_20_15_3_lvl,Enhancement,1
es_wr_b2_20_17_3_bp,Elaboration,1
es_wr_b2_20_17_3_cbl,Enhancement,1
es_wr_b2_20_17_3_cmmj,Elaboration,1
es_wr_b2_20_17_3_lcm,Enhancement,1
es_wr_b2_20_17_3_lcm,Extension,1
es_wr_b2_20_8_3_nfb2,Enhancement,1
es_wr_b2_21_10_3_fer,Enhancement,1
es_wr_b2_21_12_14_aegu,Enhancement,1
es_wr_b2_21_12_3_imj,Enhancement,1
es_wr_b2_21_13_14_csl,Elaboration,1
es_wr_b2_21_13_3_csl,Elaboration,1
es_wr_b2_21_15_13_los,Enhancement,1
es_wr_b2_21_15_3_ajpm,Enhancement,1
es_wr_b2_21_16_3_dpg,Elaboration,1
es_wr_b2_21_16_3_ird,Enhancement,1
es_wr_b2_21_16_3_lgt,Elaboration,1
es_wr_b2_21_16_3_psm,Enhancement,1
es_wr_b2_21_17_13_mrb,Enhancement,1
es_wr_b2_21_17_3_gfn,Enhancement,1
es_wr_b2_21_18_13_lam,Enhancement,1
es_wr_b2_21_18_3_epm,Extension,1
es_wr_b2_21_8_3_cm,Elaboration,1
es_wr_b2_22_11_14_drg,Enhancement,2
es_wr_b2_22_15_14_jaa,Elaboration,1
es_wr_b2_22_15_14_mcds,Enhancement,1
es_wr_b2_22_15_3_jrm,Enhancement,1
es_wr_b2_22_16_13_jrrm,Enhancement,2
es_wr_b2_22_16_3_mmb,Elaboration,1
es_wr_b2_22_19_3_aoa,Elaboration,1
es_wr_b2_22_19_3_pcc,Enhancement,1
es_wr_b2_22_19_3_pcc,Extension,2
es_wr_b2_23_15_14_lfc,Elaboration,1
es_wr_b2_23_15_14_lfc,Extension,1
es_wr_b2_23_16_3_icc,Extension,1
es_wr_b2_23_19_3_jtc,Extension,1
es_wr_b2_23_1_13_acd,Enhancement,4
es_wr_b2_23_21_14_nnt,Enhancement,1
es_wr_b2_23_6_3_lrm,Extension,1
es_wr_b2_24_14_14_rgg,Enhancement,1
es_wr_b2_24_14_3_apr,Enhancement,2
es_wr_b2_24_14_3_apr,Extension,3
es_wr_b2_24_15_3_jrc,Enhancement,1
es_wr_b2_24_19_14_mabg,Enhancement,1
es_wr_b2_24_20_3_ntp,Enhancement,1
es_wr_b2_24_8_3_cldlh,Extension,2
es_wr_b2_25_10_13_mpt,Enhancement,1
es_wr_b2_26_18_14_mrm,Enhancement,1
es_wr_b2_29_10_3_aam,Extension,1
es_wr_b2_39_27_14_rsp,Enhancement,1
es_wr_b2_43_32_3_am,Enhancement,1
es_wr_b2_51_25_3_rmmr,Elaboration,1
es_wr_c1_17_14_13_mvj,Enhancement,2
es_wr_c1_17_14_13_mvj,Extension,1
es_wr_c1_17_7_3_pvm,Elaboration,1
es_wr_c1_18_10_3_mg,Elaboration,1
es_wr_c1_18_10_3_mg,Extension,1
es_wr_c1_18_12_14_cbg,Elaboration,1
es_wr_c1_18_12_14_lbt,Enhancement,1
es_wr_c1_18_12_3_eno,Extension,1
es_wr_c1_18_13_14_mscm,Enhancement,2
es_wr_c1_18_13_3_amr,Elaboration,1
es_wr_c1_18_13_3_amr,Extension,1
es_wr_c1_18_13_3_arc,Enhancement,2
es_wr_c1_18_13_3_nsbb,Enhancement,2
es_wr_c1_18_15_3_cgr,Enhancement,1
es_wr_c1_18_15_3_cgr,Extension,1
es_wr_c1_18_15_3_muj,Elaboration,1
es_wr_c1_18_15_3_muj,Enhancement,1
es_wr_c1_18_9_3_brg,Extension,1
es_wr_c1_19_10_3_mor,Enhancement,1
es_wr_c1_19_10_3_mrs,Elaboration,1
es_wr_c1_19_12_3_ara,Extension,1
es_wr_c1_19_12_3_jcf,Elaboration,1
es_wr_c1_19_12_3_jcf,Extension,1
es_wr_c1_19_13_13_aga,Extension,1
es_wr_c1_19_13_3_avwm,Extension,1
es_wr_c1_19_13_3_eap,Enhancement,2
es_wr_c1_19_13_3_eap,Extension,1
es_wr_c1_19_13_3_emtl,Elaboration,1
es_wr_c1_19_13_3_emtl,Enhancement,1
es_wr_c1_19_14_3_ims,Enhancement,1
es_wr_c1_19_14_3_mamo,Enhancement,1
es_wr_c1_19_16_3_lcf,Extension,1
es_wr_c1_19_16_3_lsl,Enhancement,1
es_wr_c1_19_16_3_mom,Enhancement,1
es_wr_c1_19_16_3_pah,Elaboration,1
es_wr_c1_19_9_3_vgm,Extension,2
es_wr_c1_20_10_13_sjm,Enhancement,1
es_wr_c1_20_11_3_mebq,Enhancement,1
es_wr_c1_20_12_3_mym,Extension,1
es_wr_c1_20_13_14_mrtm,Elaboration,1
es_wr_c1_20_13_14_mrtm,Extension,1
