level,macro_category,subcategory,relation,taxis,connector
inter_sentential,Elaboration,Clarifying,Verificative,,in reality
inter_sentential,Elaboration,Clarifying,Verificative,,if truth be told
inter_sentential,Elaboration,Clarifying,Verificative,,admittedly
inter_sentential,Extension,Addition,Positive,,anotherand
inter_sentential,Extension,Addition,Positive,,also
inter_sentential,Extension,Addition,Positive,,furthermore
inter_sentential,Extension,Addition,Positive,,further
inter_sentential,Extension,Addition,Positive,,moreover
inter_sentential,Extension,Addition,Positive,,in addition
inter_sentential,Extension,Addition,Positive,,additionally
inter_sentential,Extension,Addition,Positive,,besides
inter_sentential,Extension,Addition,Positive,,not to mention
inter_sentential,Extension,Addition,Positive,,let alone
inter_sentential,Extension,Addition,Positive,,plus
inter_sentential,Extension,Addition,Positive,,coupled with
inter_sentential,Extension,Addition,Positive,,alongside
inter_sentential,Extension,Addition,Positive,,equally
inter_sentential,Extension,Addition,Positive,,likewise
inter_sentential,Extension,Addition,Positive,,similarly
inter_sentential,Extension,Addition,Positive,,by the same token
inter_sentential,Extension,Addition,Positive,,what’s more
inter_sentential,Extension,Addition,Positive,,into the bargain
inter_sentential,Extension,Addition,Positive,,too
inter_sentential,Extension,Addition,Negative,,nor
inter_sentential,Extension,Addition,Negative,,neither
inter_sentential,Extension,Addition,Negative,,no more
inter_sentential,Extension,Addition,Negative,,not either
inter_sentential,Extension,Addition,Negative,,and not
inter_sentential,Extension,Addition,Negative,,nor yet
inter_sentential,Extension,Addition,Negative,,never
inter_sentential,Extension,Addition,Negative,,not once
inter_sentential,Extension,Adversative,,,but
inter_sentential,Extension,Adversative,,,yet
inter_sentential,Extension,Adversative,,,however
inter_sentential,Extension,Adversative,,,nevertheless
inter_sentential,Extension,Adversative,,,nonetheless
inter_sentential,Extension,Adversative,,,still
inter_sentential,Extension,Adversative,,,though
inter_sentential,Extension,Adversative,,,although
inter_sentential,Extension,Adversative,,,even though
inter_sentential,Extension,Adversative,,,whereas
inter_sentential,Extension,Adversative,,,while
inter_sentential,Extension,Adversative,,,whilst
inter_sentential,Extension,Adversative,,,on the other hand
inter_sentential,Extension,Adversative,,,conversely
inter_sentential,Extension,Adversative,,,in contrast
inter_sentential,Extension,Adversative,,,contrarily
inter_sentential,Extension,Adversative,,,oppositely
inter_sentential,Extension,Adversative,,,that said
inter_sentential,Extension,Adversative,,,having said that
inter_sentential,Extension,Adversative,,,despite this
inter_sentential,Extension,Adversative,,,be that as it may
inter_sentential,Extension,Adversative,,,alternatively
inter_sentential,Extension,Adversative,,,on the contrary
inter_sentential,Extension,Variation,Replacive,,on the contrary
inter_sentential,Extension,Variation,Replacive,,instead
inter_sentential,Extension,Variation,Replacive,,rather
inter_sentential,Extension,Variation,Replacive,,alternatively
inter_sentential,Extension,Variation,Replacive,,as a substitute
inter_sentential,Extension,Variation,Replacive,,in lieu of
inter_sentential,Extension,Variation,Replacive,,as opposed to
inter_sentential,Extension,Variation,Replacive,,contrariwise
inter_sentential,Extension,Variation,Replacive,,in reverse
inter_sentential,Extension,Variation,Subtractive,,apart from
inter_sentential,Extension,Variation,Subtractive,,apart from that
inter_sentential,Extension,Variation,Subtractive,,except for that
inter_sentential,Extension,Variation,Subtractive,,except for
inter_sentential,Extension,Variation,Subtractive,,save for
inter_sentential,Extension,Variation,Subtractive,,barring
inter_sentential,Extension,Variation,Subtractive,,excluding
inter_sentential,Extension,Variation,Subtractive,,omitting
inter_sentential,Extension,Variation,Subtractive,,other than
inter_sentential,Extension,Variation,Subtractive,,outside of
inter_sentential,Extension,Variation,Alternative,,or
inter_sentential,Extension,Variation,Alternative,,either...or
