corpus,eligible_text_count,zero_density_text_count,interparagraph_conjunction_tokens,total_words,eligible_paragraph_starts,density_per_1000_total_words,tokens_per_eligible_paragraph_start,normalization_denominator,source_file
COREFL,982,524,673,191271,2694,3.5185678958127475,0.24981440237564959,total_words,outputs/v2_interparagraph_full/v2_interparagraph_full_supported_text_indices.csv
GiG,2371,1415,1563,691053,14751,2.2617657401096585,0.10595891803945495,total_words,outputs/v2_interparagraph_full/v2_interparagraph_full_supported_text_indices.csv
