text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_extension_raw,macro_extension_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,intersent_elab_clar_corrective_raw,intersent_elab_clar_corrective_per_1000,intersent_elab_clar_verif_raw,intersent_elab_clar_verif_per_1000,intersent_ext_add_positive_raw,intersent_ext_add_positive_per_1000,intersent_ext_adv_raw,intersent_ext_adv_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,intersent_enh_spatio_temporal_simple_following_raw,intersent_enh_spatio_temporal_simple_following_per_1000,intersent_enh_caus_reason_raw,intersent_enh_caus_reason_per_1000,intersent_enh_caus_cond_positive_raw,intersent_enh_caus_cond_positive_per_1000,intersent_ext_var_alt_raw,intersent_ext_var_alt_per_1000,intersent_elab_exemp_raw,intersent_elab_exemp_per_1000,intersent_enh_caus_general_raw,intersent_enh_caus_general_per_1000,intersent_elab_appositive_raw,intersent_elab_appositive_per_1000,intersent_enh_spatio_temporal_simple_sim_raw,intersent_enh_spatio_temporal_simple_sim_per_1000,intersent_enh_manner_means_raw,intersent_enh_manner_means_per_1000,intersent_enh_spatio_temporal_simple_concl_raw,intersent_enh_spatio_temporal_simple_concl_per_1000,intersent_enh_caus_result_raw,intersent_enh_caus_result_per_1000,intersent_enh_spatio_temporal_complex_specific_raw,intersent_enh_spatio_temporal_complex_specific_per_1000,intersent_elab_clar_sum_raw,intersent_elab_clar_sum_per_1000,intersent_ext_var_repl_raw,intersent_ext_var_repl_per_1000,intersent_enh_spatio_temporal_complex_durative_raw,intersent_enh_spatio_temporal_complex_durative_per_1000,intersent_elab_clar_dismissive_raw,intersent_elab_clar_dismissive_per_1000,intersent_enh_caus_conc_raw,intersent_enh_caus_conc_per_1000,intersent_ext_add_negative_raw,intersent_ext_add_negative_per_1000,intersent_enh_spatio_temporal_simple_preceding_raw,intersent_enh_spatio_temporal_simple_preceding_per_1000,intersent_enh_spatio_temporal_complex_repetitive_raw,intersent_enh_spatio_temporal_complex_repetitive_per_1000,intersent_enh_caus_purpose_raw,intersent_enh_caus_purpose_per_1000,intersent_enh_spatio_temporal_complex_interrupted_raw,intersent_enh_spatio_temporal_complex_interrupted_per_1000,intersent_enh_spatio_temporal_complex_terminal_raw,intersent_enh_spatio_temporal_complex_terminal_per_1000,intersent_enh_caus_cond_negative_raw,intersent_enh_caus_cond_negative_per_1000,intersent_enh_spatio_temporal_complex_immediate_raw,intersent_enh_spatio_temporal_complex_immediate_per_1000,intersent_enh_manner_comparison_negative_raw,intersent_enh_manner_comparison_negative_per_1000,intersent_enh_manner_comparison_positive_raw,intersent_enh_manner_comparison_positive_per_1000,intersent_elab_clar_particularizing_raw,intersent_elab_clar_particularizing_per_1000,intersent_ext_var_subtr_raw,intersent_ext_var_subtr_per_1000,intersent_elab_clar_resumptive_raw,intersent_elab_clar_resumptive_per_1000,intersent_enh_spatio_temporal_complex_punctiliar_raw,intersent_enh_spatio_temporal_complex_punctiliar_per_1000,intersent_elab_clar_distractive_raw,intersent_elab_clar_distractive_per_1000,intersent_enh_matter_negative_raw,intersent_enh_matter_negative_per_1000,intersent_enh_matter_positive_raw,intersent_enh_matter_positive_per_1000
gig_504,inter_sentential_v2,266,parser_full_text,5,18.796992481203006,2.0,7.518796992481203,,,,,,,,,2.0,7.518796992481203,3.0,11.278195488721805,2.0,7.518796992481203,,,,,,,,,1.0,3.7593984962406015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_505,inter_sentential_v2,403,parser_full_text,2,4.962779156327543,1.0,2.4813895781637716,,,,,,,,,1.0,2.4813895781637716,1.0,2.4813895781637716,,,,,,,,,,,1.0,2.4813895781637716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_506,inter_sentential_v2,436,parser_full_text,4,9.174311926605505,1.0,2.293577981651376,1.0,2.293577981651376,,,,,,,1.0,2.293577981651376,2.0,4.587155963302752,1.0,2.293577981651376,,,,,,,,,,,,,,,,,,,,,,,1.0,2.293577981651376,,,,,,,,,,,,,,,,,,,1.0,2.293577981651376,,,,,,,,,,,,,,,,,,,,,,
gig_507,inter_sentential_v2,379,parser_full_text,3,7.9155672823219,3.0,7.9155672823219,,,,,,,2.0,5.277044854881266,1.0,2.638522427440633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_508,inter_sentential_v2,225,parser_full_text,1,4.444444444444445,,,,,,,,,,,,,1.0,4.444444444444445,1.0,4.444444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_509,inter_sentential_v2,237,parser_full_text,4,16.877637130801688,3.0,12.658227848101266,,,,,,,,,3.0,12.658227848101266,1.0,4.219409282700422,,,,,1.0,4.219409282700422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_50d,inter_sentential_v2,79,parser_full_text,2,25.31645569620253,,,,,,,,,,,,,2.0,25.31645569620253,2.0,25.31645569620253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_510,inter_sentential_v2,172,parser_full_text,2,11.627906976744185,2.0,11.627906976744185,,,,,,,,,2.0,11.627906976744185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_513,inter_sentential_v2,150,parser_full_text,2,13.333333333333334,1.0,6.666666666666667,,,,,,,1.0,6.666666666666667,,,1.0,6.666666666666667,,,,,1.0,6.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_514,inter_sentential_v2,315,parser_full_text,4,12.698412698412698,1.0,3.1746031746031744,,,,,,,,,1.0,3.1746031746031744,3.0,9.523809523809526,,,,,3.0,9.523809523809526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
