corpus,group_order,group_var,parataxis_median,hypotaxis_median
COREFL,1,A1,3.7593984962406015,9.174311926605505
COREFL,2,A2,6.700186303337748,10.494099076776244
COREFL,3,B1,6.8728522336769755,11.574074074074073
COREFL,4,B2,5.780346820809248,12.195121951219512
COREFL,5,C1,5.181347150259067,12.102902133113613
COREFL,6,C2,4.587252488268838,11.970929935001791
EFCAMDAT,1,A1,10.752688172043012,0.0
EFCAMDAT,2,A2,11.235955056179774,0.0
EFCAMDAT,3,B1,9.615384615384617,8.196721311475411
EFCAMDAT,4,B2,7.042253521126761,8.264462809917356
EFCAMDAT,5,C1,6.5359477124183005,8.620689655172413
GiG,2,2,0.0,0.0
GiG,4,4,8.695652173913043,10.48951048951049
GiG,6,6,8.574579542321478,11.96709719574304
GiG,9,9,8.695652173913043,14.191590062290508
GiG,11,11,7.369392853263822,14.611884332590506
