text_id,detected_item,n_cases
gig_1024b,throughout,1
gig_1027a,however,1
gig_1027a,to conclude,1
gig_1027b,also,1
gig_1027b,although,1
gig_1027d,once,1
gig_1027d,to conclude,1
gig_1027e,if,1
gig_1028a,although,1
gig_1028a,even though,1
gig_1028a,however,1
gig_1028a,therefore,1
gig_1028b,therefore,1
gig_1029a,also,1
gig_1029a,even though,1
gig_1029a,however,2
gig_1029a,in conclusion,1
gig_1029b,however,2
gig_1029b,in conclusion,1
gig_1029b,whereas,1
gig_1029c,before,1
gig_1029c,however,3
gig_1029d,however,1
gig_1029e,however,1
gig_1029e,if,1
gig_1029f,however,2
gig_1029f,in conclusion,1
gig_102a,also,1
gig_102a,because,1
gig_102a,finally,1
gig_102b,finally,1
gig_102b,then,1
gig_1031a,also,1
gig_1031a,although,1
gig_1031a,for example,1
gig_1031a,since,1
gig_1031a,to conclude,1
gig_1031b,also,1
gig_1031b,for example,5
gig_1031b,furthermore,2
gig_1031b,however,1
gig_1031b,in fact,1
gig_1031b,lastly,1
gig_1031b,then,1
gig_1031b,therefore,1
gig_1031b,to conclude,1
gig_1031c,after,3
gig_1031c,but,1
gig_1031c,however,2
gig_1031c,lastly,1
gig_1031c,next,1
gig_1031c,then,1
gig_1031c,therefore,1
gig_1031c,to conclude,1
gig_1031d,if,1
gig_1031d,specifically,1
gig_1032a,if,1
gig_1032a,in conclusion,1
gig_1032b,even though,1
gig_1032b,however,1
gig_1032b,therefore,1
gig_1032c,however,1
gig_1032c,in conclusion,1
gig_1033,although,1
gig_1033,however,1
gig_1033,in conclusion,1
gig_1034,also,1
gig_1034,before,1
gig_1034,for example,1
gig_1034,in conclusion,1
gig_1034,on the other hand,1
gig_1034,therefore,3
gig_1035,for example,3
gig_1035,however,1
gig_1035,instead,1
gig_1035,so,1
gig_1036,also,1
gig_1036,before,1
gig_1036,for example,1
gig_1036,in conclusion,1
gig_1036,on the other hand,1
gig_1036,therefore,3
gig_1037a,also,1
gig_1037a,although,1
gig_1037a,however,2
gig_1037a,in conclusion,1
gig_1037a,so,1
gig_1037b,after,1
gig_1037b,for example,1
gig_1037b,however,2
gig_1037b,in conclusion,1
gig_1038a,however,1
gig_1038a,to conclude,1
gig_1039a,also,1
gig_1039a,for example,1
gig_1039a,however,1
gig_1039a,in conclusion,1
gig_1039a,moreover,1
gig_1039a,on the contrary,1
gig_1039b,however,1
gig_1039c,as a result,1
gig_1039c,however,1
gig_1039c,in conclusion,1
gig_103a,also,1
gig_103b,because,1
gig_103b,but,2
gig_103b,so,1
gig_1040,also,1
gig_1040,for example,2
gig_1040,however,1
gig_1040,if,1
gig_1041a,also,1
gig_1041a,so far,1
gig_1041b,also,1
gig_1041b,further,1
gig_1041c,also,1
gig_1041d,furthermore,1
gig_1042a,also,1
gig_1042c,also,1
gig_1042c,in conclusion,1
gig_1043a,once,1
gig_1043b,since,1
gig_1044a,also,4
gig_1044a,for example,3
gig_1044a,however,3
gig_1044a,in conclusion,1
gig_1044b,for example,1
gig_1044b,without,1
gig_1044c,also,1
gig_1044c,if,1
gig_1045a,but,1
gig_1045a,for this reason,1
gig_1045a,however,2
gig_1045a,so,1
gig_1045b,but,1
gig_1045b,however,1
gig_1045c,however,1
gig_1046c,if,1
gig_1047a,although,1
gig_1047a,for example,2
gig_1047a,however,1
gig_1047a,so,1
gig_1047a,therefore,1
gig_1047b,however,1
gig_1047d,also,1
gig_1047e,also,1
gig_1048d,also,1
gig_1049b,for example,1
gig_1049c,also,1
gig_104a,also,1
gig_104a,however,1
gig_104b,again,1
gig_104b,maybe,1
gig_1050a,if,1
gig_1051a,also,1
gig_1051b,then,1
gig_1051e,in conclusion,1
gig_1051f,on the other hand,1
gig_1052a,on the other hand,1
gig_1052b,however,1
gig_1053a,immediately,1
gig_1053b,for example,1
gig_1053b,immediately,1
gig_1053b,through,1
gig_1053c,furthermore,2
gig_1053c,through,2
gig_1053c,throughout,1
gig_1053d,instead,1
gig_1053d,throughout,1
gig_1053e,while,1
gig_1054a,if,1
gig_1054a,in fact,1
gig_1054a,moreover,1
gig_1054a,thus,1
gig_1054b,also,2
gig_1054b,contrastingly,1
gig_1054b,furthermore,1
gig_1054b,however,1
gig_1054c,also,4
gig_1054c,following this,1
gig_1054c,further,1
gig_1054c,furthermore,1
gig_1054c,in addition,1
gig_1054c,lastly,2
gig_1054d,however,3
gig_1054d,in fact,1
gig_1054d,moreover,1
gig_1054e,however,1
gig_1054e,in fact,1
gig_1054e,instead,1
gig_1055a,though,1
gig_1055b,but,1
gig_1055b,first,1
gig_1055b,furthermore,1
gig_1055b,however,1
gig_1055b,moreover,1
gig_1055b,then,1
gig_1055b,thus,1
gig_1055c,after,1
gig_1055c,despite,1
gig_1055c,finally,1
gig_1055c,furthermore,1
gig_1055c,hence,2
gig_1055c,however,1
gig_1055c,moreover,2
gig_1055c,nevertheless,1
gig_1055c,perhaps,1
gig_1055c,therefore,1
gig_1055c,thus,1
gig_1055c,yet,1
gig_1055d,first,1
gig_1055d,furthermore,2
gig_1055d,hence,1
gig_1055d,thus,1
gig_1055e,furthermore,1
gig_1055e,however,3
gig_1055f,but,1
gig_1055f,so,1
gig_1056a,after,1
gig_1056a,so,1
gig_1056b,to conclude,1
gig_1056d,despite,1
gig_1057a,however,1
gig_1057a,so,1
gig_1057b,for example,1
gig_1057c,however,1
gig_1057c,throughout,2
gig_1057d,however,1
gig_1057e,again,1
gig_1057f,but,2
gig_1057f,yet,1
gig_1058a,however,1
gig_1058a,if,1
gig_1058a,through,1
gig_1058b,however,2
gig_1058b,in the same way,1
gig_1058b,once,1
gig_1058b,thus,1
gig_1058b,to conclude,1
gig_1058c,after,3
gig_1058c,finally,2
gig_1058c,however,1
gig_1058c,in short,1
gig_1058c,since,1
gig_1058c,then,1
gig_1058c,yet,1
gig_1058d,yet,1
gig_1058e,instead,1
gig_1058f,after,2
gig_1058f,yet,1
gig_1059a,then,1
gig_1059c,again,1
gig_1059d,however,1
gig_1059e,then,1
gig_105a,also,1
gig_105a,but,1
gig_105b,after,1
gig_105b,so,6
gig_1060b,on the other hand,1
gig_1060c,but,1
gig_1060c,even though,1
gig_1060c,finally,1
gig_1060c,then,1
gig_1060d,yet,1
gig_1060e,again,1
gig_1060e,yet,1
gig_1060f,but,1
gig_1060f,yet,1
gig_1061a,once,1
gig_1061b,finally,1
gig_1061b,however,2
gig_1061b,not yet,1
gig_1061c,all in all,1
gig_1061c,furthermore,1
gig_1061c,however,1
gig_1061c,though,1
gig_1061d,furthermore,1
gig_1061d,once,1
gig_1061d,though,1
gig_1061d,using,1
gig_1061e,whatever,1
gig_1061f,however,1
gig_1061f,instead,1
gig_1061f,still,1
gig_1062a,instead,1
gig_1062a,still,1
gig_1062b,finally,1
gig_1062b,in conclusion,1
gig_1062c,furthermore,1
gig_1062c,in addition,1
gig_1062c,in conclusion,1
gig_1062c,moreover,1
gig_1062c,since,1
gig_1062d,until,1
gig_1062e,however,1
gig_1062e,moreover,1
gig_1062e,while,1
gig_1063a,but,2
gig_1063a,instead,1
gig_1063b,throughout,1
gig_1063c,after,1
gig_1063c,also,2
gig_1063c,but,1
gig_1063c,however,2
gig_1063d,also,1
gig_1063d,although,1
gig_1063d,therefore,1
gig_1063e,although,1
gig_1063e,if,1
gig_1063f,although,1
gig_1063f,but,2
gig_1063f,however,1
gig_1063f,in fact,1
gig_1064b,furthermore,2
gig_1064b,however,1
gig_1064b,in conclusion,1
gig_1064c,after,1
gig_1064c,furthermore,5
gig_1064c,in conclusion,1
gig_1064c,in the end,1
gig_1064c,so,1
gig_1064c,throughout,1
gig_1064c,whilst,1
gig_1064c,yet,2
gig_1064d,again,2
gig_1064d,even though,1
gig_1064d,furthermore,1
gig_1064d,however,1
gig_1064e,furthermore,3
gig_1064e,however,1
gig_1065a,then,2
gig_1065b,yet,2
gig_1065c,although,1
gig_1066a,although,2
gig_1066a,but,1
gig_1066a,instead,1
gig_1066a,then,1
gig_1066b,furthermore,1
gig_1066b,however,1
gig_1066b,in conclusion,1
gig_1066c,finally,1
gig_1066c,furthermore,5
gig_1066c,lastly,1
gig_1066c,next,1
gig_1066c,to conclude,1
gig_1066e,finally,1
gig_1066e,for example,1
gig_1066e,furthermore,1
gig_1066e,in fact,1
gig_1066e,so,1
gig_1066f,however,1
gig_1066f,soon,1
gig_1067a,finally,1
gig_1067a,next,1
gig_1067b,finally,1
gig_1067b,in conclusion,1
gig_1067c,finally,1
gig_1067c,furthermore,1
gig_1067c,however,2
gig_1067c,next,1
gig_1067c,yet,1
gig_1067d,also,1
gig_1067d,although,2
gig_1067d,however,1
gig_1067d,once,1
gig_1067d,perhaps,1
gig_1067e,after,1
gig_1067e,but,3
gig_1067e,that is,1
gig_1068a,after,1
gig_1068a,due to,1
gig_1068a,however,1
gig_1068a,in conclusion,1
gig_1068a,once,1
gig_1068a,throughout,1
gig_1068b,also,1
gig_1068b,although,2
gig_1068b,but,1
gig_1069a,so,1
gig_1069a,whereas,1
gig_1069b,after,1
gig_1069b,also,3
gig_1069b,before,1
gig_1069b,however,1
gig_106a,actually,1
gig_106a,but,3
gig_106a,until,1
gig_1070,earlier,1
gig_1071,also,1
gig_1071,for example,2
gig_1071,however,1
gig_1071,unfortunately,1
gig_1071,whereas,1
gig_1072a,after,2
gig_1072a,but,2
gig_1072a,so,1
gig_1072b,but,2
gig_1072b,throughout,2
gig_1073,although,1
gig_1073,before that,1
gig_1073,but,1
gig_1073,even though,1
gig_1073,however,1
gig_1073,later,1
gig_1073,so,2
gig_1073,so far,1
gig_1074a,after,1
gig_1074a,also,4
gig_1074a,for example,2
gig_1074a,for instance,1
gig_1074a,later,1
gig_1074a,never,1
gig_1074a,throughout,1
gig_1074a,to conclude,1
gig_1074b,also,1
gig_1074b,for instance,1
gig_1074b,however,1
gig_1074b,in conclusion,1
gig_1074b,throughout,1
gig_1075a,however,1
gig_1075a,in conclusion,1
gig_1075a,whilst,2
