text_id,detected_item,n_cases
cn_wr_c1_32_10_14_cc,at last,1
cn_wr_c1_32_10_14_cc,at the same time,1
cn_wr_c1_32_10_14_cc,meanwhile,1
cn_wr_c1_32_10_14_cc,unfortunately,1
cn_wr_c1_32_10_14_ln,another time,1
cn_wr_c1_32_10_14_ln,at last,1
cn_wr_c1_32_10_14_ln,then,1
cn_wr_c1_32_19_14_hp,however,2
cn_wr_c1_32_22_14_hg,although,1
cn_wr_c1_32_22_14_hg,at the same time,1
cn_wr_c1_32_22_14_hg,but,2
cn_wr_c1_32_22_14_hg,so,2
cn_wr_c1_32_22_14_xt,at this moment,3
cn_wr_c1_32_22_14_xt,so,1
cn_wr_c1_32_22_14_xt,then,3
cn_wr_c1_32_24_14_ly,then,2
cn_wr_c1_32_25_14_wyy,at the same time,1
cn_wr_c1_32_25_14_wyy,but,3
cn_wr_c1_32_25_14_wyy,finally,1
cn_wr_c1_32_25_14_wyy,however,1
cn_wr_c1_32_25_14_wyy,meanwhile,1
cn_wr_c1_32_25_14_wyy,so,2
cn_wr_c2_23_10_14_sw,after,1
cn_wr_c2_23_10_14_sw,but,1
cn_wr_c2_23_10_14_sw,finally,1
cn_wr_c2_23_10_14_sw,then,1
cn_wr_c2_27_19_14_ez,in the end,1
cn_wr_c2_31_25_14_ll,however,1
cn_wr_c2_31_25_14_ll,meanwhile,1
cz_wr_a2_18_10_14_mh,after,3
cz_wr_a2_18_14_14_svvv,after,2
cz_wr_a2_18_14_14_svvv,but,2
cz_wr_a2_18_8.5_14_al,after,1
cz_wr_a2_18_8.5_14_al,then,1
cz_wr_a2_18_9_14_ap,but,4
cz_wr_a2_18_9_14_ap,first,1
cz_wr_a2_18_9_14_ap,so,5
cz_wr_a2_18_9_14_ap,then,2
cz_wr_a2_18_9_14_kz,in the end,1
cz_wr_a2_18_9_14_kz,so,1
cz_wr_a2_18_9_14_kz,then,2
cz_wr_a2_19_10_14_dr,but,1
cz_wr_a2_19_10_14_dr,next,1
cz_wr_a2_19_10_14_dr,then,1
cz_wr_a2_19_13_14_mh,after,1
cz_wr_a2_19_13_14_vv,after,2
cz_wr_a2_19_13_14_vv,at this moment,1
cz_wr_a2_19_13_14_vv,but,1
cz_wr_a2_19_13_14_vv,so,1
cz_wr_a2_19_13_14_vv,then,2
cz_wr_a2_19_9_14_lh,first,1
cz_wr_a2_19_9_14_lh,so,1
cz_wr_b1_18_10.5_14_mp,afterwards,3
cz_wr_b1_18_10.5_14_mp,although,1
cz_wr_b1_18_10.5_14_mp,but,2
cz_wr_b1_18_10.5_14_mp,however,1
cz_wr_b1_18_10.5_14_mp,so,3
cz_wr_b1_18_10.5_14_mp,then,1
cz_wr_b1_18_10_14_tr,in the end,1
cz_wr_b1_18_10_14_tr,then,1
cz_wr_b1_18_14_14_kn,after,2
cz_wr_b1_18_3_14_vpk,later,1
cz_wr_b1_18_3_14_vpk,then,1
cz_wr_b1_18_9.5_14_kc,then,3
