text_id,detected_item,n_cases
efcamdat_1003930,finally,1
efcamdat_100394,after,1
efcamdat_100394,in the end,1
efcamdat_100396,first,1
efcamdat_100397,after all,1
efcamdat_1004,next,1
efcamdat_100400,finally,1
efcamdat_100400,maybe,1
efcamdat_100404,finally,1
efcamdat_100404,first,1
efcamdat_100404,next,1
efcamdat_100405,besides,1
efcamdat_100405,if,1
efcamdat_100406,because of,1
efcamdat_100407,after,1
efcamdat_100407,first,1
efcamdat_1004134,after,1
efcamdat_100415,so,1
efcamdat_100417,too,1
efcamdat_1004323,in addition,1
efcamdat_100436,so,1
efcamdat_100452,if,1
efcamdat_1004728,in addition,1
efcamdat_1004752,if,1
efcamdat_1004753,but,1
efcamdat_1004753,so,1
efcamdat_100487,also,1
efcamdat_1004894,after,1
efcamdat_100496,so,1
efcamdat_1005088,so,1
efcamdat_100511,so,1
efcamdat_100513,but,1
efcamdat_100515,after,1
efcamdat_100520,but,1
efcamdat_100522,finally,1
efcamdat_100539,in the morning,1
efcamdat_100549,if,1
efcamdat_100550,first,1
efcamdat_100550,then,1
efcamdat_100554,finally,1
efcamdat_100554,in the end,1
efcamdat_100554,unfortunately,1
efcamdat_100555,then,1
efcamdat_100559,finally,1
efcamdat_100560,but,1
efcamdat_100563,first,1
efcamdat_100563,second,1
efcamdat_100563,third,1
efcamdat_100568,actually,1
efcamdat_100568,however,1
efcamdat_100568,that is,1
efcamdat_100569,also,1
efcamdat_100569,first,1
efcamdat_1005963,but,1
efcamdat_1005963,if,1
efcamdat_1005971,fortunately,1
efcamdat_100627,all day,1
efcamdat_100635,after,1
efcamdat_100635,but,1
efcamdat_100635,so,1
efcamdat_100638,then,1
efcamdat_100642,since,1
efcamdat_1006543,if,1
efcamdat_1006544,so,1
efcamdat_1006544,then,1
efcamdat_1006545,before,1
efcamdat_1006545,if,2
efcamdat_10066,after,1
efcamdat_10066,finally,1
efcamdat_10066,in the end,1
efcamdat_10066,then,1
efcamdat_10067,after,1
efcamdat_10067,first,1
efcamdat_10067,then,1
efcamdat_100684,so,1
efcamdat_1006850,first,1
efcamdat_1006850,fourth,1
efcamdat_1006850,second,1
efcamdat_1006850,third,1
efcamdat_100687,then,1
efcamdat_100691,finally,1
efcamdat_100691,in the end,1
efcamdat_100691,then,1
efcamdat_100691,unfortunately,1
efcamdat_100695,after,1
efcamdat_100695,finally,1
efcamdat_100695,if,1
efcamdat_100703,so,1
efcamdat_100705,anyway,1
efcamdat_100705,if,2
efcamdat_100707,although,1
efcamdat_100708,after,1
efcamdat_100708,finally,1
efcamdat_100708,next,1
efcamdat_100709,so,1
efcamdat_100718,without,1
efcamdat_1007351,if,1
efcamdat_1007357,but,1
efcamdat_1007357,however,1
efcamdat_1007389,but,1
efcamdat_100748,but,1
efcamdat_100755,so,1
efcamdat_100757,then,1
efcamdat_100758,but,1
efcamdat_100758,finally,1
efcamdat_100763,finally,1
efcamdat_100763,then,1
efcamdat_1007640,also,1
efcamdat_1007640,consequently,1
efcamdat_1007640,in addition,1
efcamdat_1007640,so,1
efcamdat_1007738,but,1
efcamdat_1007738,so,1
efcamdat_1007851,actually,1
efcamdat_1007906,then,1
efcamdat_1007908,but,1
efcamdat_1007908,maybe,1
efcamdat_1007919,first,1
efcamdat_1007919,for that reason,1
efcamdat_1007921,but,1
efcamdat_1007922,after,1
efcamdat_1007922,first,1
efcamdat_100797,but,1
efcamdat_100797,if,1
efcamdat_10080,but,1
efcamdat_100814,but,1
efcamdat_100823,if,1
efcamdat_1008255,so,1
efcamdat_1008255,unfortunately,1
efcamdat_100826,however,1
efcamdat_100826,if,1
efcamdat_100826,so,1
efcamdat_100835,so,1
efcamdat_1008395,so,1
efcamdat_10084,also,1
efcamdat_10084,if,1
efcamdat_10086,also,1
efcamdat_10086,if,1
efcamdat_100874,but,1
efcamdat_1008772,so,1
efcamdat_10088,but,1
efcamdat_100889,before,1
efcamdat_10089,anyway,1
efcamdat_10089,so,1
efcamdat_100890,finally,1
efcamdat_100890,first,1
efcamdat_100891,if,1
efcamdat_100891,second,1
efcamdat_100894,finally,1
efcamdat_100894,if,2
efcamdat_100895,also,1
efcamdat_100895,then,1
efcamdat_100896,if,1
efcamdat_100896,then,1
efcamdat_100899,finally,1
efcamdat_100899,next,1
efcamdat_10090,maybe,1
efcamdat_100900,then,1
efcamdat_1009022,fortunately,1
efcamdat_100907,maybe,2
efcamdat_100907,next,1
efcamdat_10092,if,1
