text_id,macro_category,n_cases
gig_1037a,Extension,4
gig_1037b,Elaboration,2
gig_1037b,Enhancement,1
gig_1037b,Extension,2
gig_1038a,Enhancement,1
gig_1038a,Extension,1
gig_1039a,Elaboration,2
gig_1039a,Extension,4
gig_1039b,Extension,1
gig_1039c,Elaboration,1
gig_1039c,Enhancement,1
gig_1039c,Extension,1
gig_103a,Extension,1
gig_103b,Enhancement,2
gig_103b,Extension,2
gig_1040,Elaboration,2
gig_1040,Enhancement,1
gig_1040,Extension,2
gig_1041a,Enhancement,1
gig_1041a,Extension,1
gig_1041b,Extension,2
gig_1041c,Extension,1
gig_1041d,Extension,1
gig_1042a,Extension,1
gig_1042c,Elaboration,1
gig_1042c,Extension,1
gig_1043a,Enhancement,1
gig_1043b,Enhancement,1
gig_1044a,Elaboration,4
gig_1044a,Extension,7
gig_1044b,Elaboration,1
gig_1044b,Enhancement,1
gig_1044c,Enhancement,1
gig_1044c,Extension,1
gig_1045a,Enhancement,2
gig_1045a,Extension,3
gig_1045b,Extension,2
gig_1045c,Extension,1
gig_1046c,Enhancement,1
gig_1047a,Elaboration,2
gig_1047a,Enhancement,2
gig_1047a,Extension,2
gig_1047b,Extension,1
gig_1047d,Extension,1
gig_1047e,Extension,1
gig_1048d,Extension,1
gig_1049b,Elaboration,1
gig_1049c,Extension,1
gig_104a,Extension,2
gig_104b,Elaboration,1
gig_104b,Enhancement,1
gig_1050a,Enhancement,1
gig_1051a,Extension,1
gig_1051b,Enhancement,1
gig_1051e,Elaboration,1
gig_1051f,Extension,1
gig_1052a,Extension,1
gig_1052b,Extension,1
gig_1053a,Enhancement,1
gig_1053b,Elaboration,1
gig_1053b,Enhancement,2
gig_1053c,Enhancement,3
gig_1053c,Extension,2
gig_1053d,Enhancement,1
gig_1053d,Extension,1
gig_1053e,Extension,1
gig_1054a,Elaboration,1
gig_1054a,Enhancement,2
gig_1054a,Extension,1
gig_1054b,Enhancement,1
gig_1054b,Extension,4
gig_1054c,Enhancement,3
gig_1054c,Extension,7
gig_1054d,Elaboration,1
gig_1054d,Extension,4
gig_1054e,Elaboration,1
gig_1054e,Extension,2
gig_1055a,Extension,1
gig_1055b,Enhancement,3
gig_1055b,Extension,4
gig_1055c,Elaboration,1
gig_1055c,Enhancement,7
gig_1055c,Extension,6
gig_1055d,Enhancement,3
gig_1055d,Extension,2
gig_1055e,Extension,4
gig_1055f,Enhancement,1
gig_1055f,Extension,1
gig_1056a,Enhancement,2
gig_1056b,Enhancement,1
gig_1056d,Enhancement,1
gig_1057a,Enhancement,1
gig_1057a,Extension,1
gig_1057b,Elaboration,1
gig_1057c,Enhancement,2
gig_1057c,Extension,1
gig_1057d,Extension,1
gig_1057e,Enhancement,1
gig_1057f,Extension,3
gig_1058a,Enhancement,2
gig_1058a,Extension,1
gig_1058b,Enhancement,4
gig_1058b,Extension,2
gig_1058c,Elaboration,1
gig_1058c,Enhancement,7
