variable,H,df,p,p_formatted,epsilon_squared,effect_size_descriptor,n,groups
Inter-paragraph conjunction density,42.15779857619603,1,8.419750859524947e-11,< .001,0.012282243681347666,small,3353,2
Extension relations (%),10.02768990505039,1,0.001542043133397392,0.0015,0.0026940286198300183,below small,3353,2
Enhancement relations (%),19.296707761909584,1,1.1189912747420147e-05,< .001,0.005460073936708321,below small,3353,2
Elaboration relations (%),16.79871325010353,1,4.156147527355944e-05,< .001,0.00471462645482051,below small,3353,2
