corpus,text_id,group,word_count_text,paragraph_count_text,eligible_paragraph_starts,supported_interparagraph_elaboration_raw,supported_interparagraph_enhancement_raw,supported_interparagraph_extension_raw,supported_interparagraph_total_raw,supported_interparagraph_total_per_1000,supported_interparagraph_total_per_eligible_paragraph_start,supported_interparagraph_elaboration_per_1000,supported_interparagraph_elaboration_per_eligible_paragraph_start,supported_interparagraph_enhancement_per_1000,supported_interparagraph_enhancement_per_eligible_paragraph_start,supported_interparagraph_extension_per_1000,supported_interparagraph_extension_per_eligible_paragraph_start
GiG,1000c,11,169,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1000d,11,188,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1000e,11,238,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1001a,11,183,10,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1001b,11,109,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1001c,11,159,6,5,0,1,0,1,6.289308176100629,0.2,0.0,0.0,6.289308176100629,0.2,0.0,0.0
GiG,1001d,11,168,7,6,1,0,0,1,5.952380952380952,0.1666666666666666,5.952380952380952,0.1666666666666666,0.0,0.0,0.0,0.0
GiG,1001e,11,249,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1002a,9,329,14,13,0,1,1,2,6.079027355623101,0.1538461538461538,0.0,0.0,3.0395136778115504,0.0769230769230769,3.0395136778115504,0.0769230769230769
GiG,1002b,9,382,19,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1003,9,301,12,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1004,9,181,8,7,0,1,0,1,5.524861878453039,0.1428571428571428,0.0,0.0,5.524861878453039,0.1428571428571428,0.0,0.0
GiG,1005a,9,225,23,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1005b,9,297,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1005c,9,462,5,4,0,1,0,1,2.1645021645021645,0.25,0.0,0.0,2.1645021645021645,0.25,0.0,0.0
GiG,1006a,9,194,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1006b,9,204,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1007a,9,190,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1007b,9,311,19,18,0,1,0,1,3.215434083601286,0.0555555555555555,0.0,0.0,3.215434083601286,0.0555555555555555,0.0,0.0
GiG,1008,9,86,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1009,9,195,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1010a,9,1098,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1010b,9,632,15,14,0,1,0,1,1.5822784810126582,0.0714285714285714,0.0,0.0,1.5822784810126582,0.0714285714285714,0.0,0.0
GiG,1010c,9,731,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1011,9,502,30,29,0,4,0,4,7.968127490039841,0.1379310344827586,0.0,0.0,7.968127490039841,0.1379310344827586,0.0,0.0
GiG,1012,9,430,23,22,0,7,0,7,16.27906976744186,0.3181818181818182,0.0,0.0,16.27906976744186,0.3181818181818182,0.0,0.0
GiG,1013,9,320,5,4,0,1,0,1,3.125,0.25,0.0,0.0,3.125,0.25,0.0,0.0
GiG,1014a,9,247,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1014c,9,385,30,29,0,0,1,1,2.5974025974025974,0.0344827586206896,0.0,0.0,0.0,0.0,2.5974025974025974,0.0344827586206896
GiG,1015a,11,1033,7,6,2,0,1,3,2.904162633107454,0.5,1.936108422071636,0.3333333333333333,0.0,0.0,0.968054211035818,0.1666666666666666
GiG,1015b,11,771,6,5,1,0,1,2,2.594033722438392,0.4,1.297016861219196,0.2,0.0,0.0,1.297016861219196,0.2
GiG,1015c,11,506,6,5,1,1,0,2,3.952569169960474,0.4,1.976284584980237,0.2,1.976284584980237,0.2,0.0,0.0
GiG,1015d,11,956,6,5,1,1,0,2,2.092050209205021,0.4,1.0460251046025104,0.2,1.0460251046025104,0.2,0.0,0.0
GiG,1015e,11,643,6,5,1,0,0,1,1.5552099533437014,0.2,1.5552099533437014,0.2,0.0,0.0,0.0,0.0
GiG,1015f,11,275,5,4,0,0,1,1,3.636363636363636,0.25,0.0,0.0,0.0,0.0,3.636363636363636,0.25
GiG,1015g,11,433,8,7,0,0,1,1,2.3094688221709005,0.1428571428571428,0.0,0.0,0.0,0.0,2.3094688221709005,0.1428571428571428
GiG,1015h,11,463,11,10,0,1,0,1,2.1598272138228944,0.1,0.0,0.0,2.1598272138228944,0.1,0.0,0.0
GiG,1015i,11,563,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1015j,11,451,12,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1015k,11,576,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1015l,11,302,6,5,0,0,1,1,3.3112582781456954,0.2,0.0,0.0,0.0,0.0,3.3112582781456954,0.2
GiG,1015m,11,528,9,8,0,0,2,2,3.787878787878788,0.25,0.0,0.0,0.0,0.0,3.787878787878788,0.25
GiG,1015n,11,399,9,8,1,1,0,2,5.012531328320802,0.25,2.506265664160401,0.125,2.506265664160401,0.125,0.0,0.0
GiG,1015o,11,647,12,11,1,1,2,4,6.182380216383307,0.3636363636363636,1.5455950540958268,0.0909090909090909,1.5455950540958268,0.0909090909090909,3.0911901081916535,0.1818181818181818
GiG,1015p,11,264,11,10,0,2,0,2,7.575757575757576,0.2,0.0,0.0,7.575757575757576,0.2,0.0,0.0
GiG,1015q,11,650,13,12,0,0,2,2,3.076923076923077,0.1666666666666666,0.0,0.0,0.0,0.0,3.076923076923077,0.1666666666666666
GiG,1016a,11,358,4,3,0,0,1,1,2.793296089385475,0.3333333333333333,0.0,0.0,0.0,0.0,2.793296089385475,0.3333333333333333
GiG,1016b,11,358,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1016c,11,147,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1016d,11,348,7,6,0,0,1,1,2.8735632183908044,0.1666666666666666,0.0,0.0,0.0,0.0,2.8735632183908044,0.1666666666666666
GiG,1017a,11,305,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017b,11,548,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017c,11,359,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017d,11,204,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017e,11,205,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017f,11,306,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017g,11,552,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017h,11,544,5,4,0,0,2,2,3.676470588235294,0.5,0.0,0.0,0.0,0.0,3.676470588235294,0.5
GiG,1017i,11,553,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017j,11,385,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017k,11,618,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017m,11,283,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017n,11,552,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017o,11,461,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017p,11,293,4,3,1,0,0,1,3.4129692832764507,0.3333333333333333,3.4129692832764507,0.3333333333333333,0.0,0.0,0.0,0.0
GiG,1017q,11,373,4,3,0,1,0,1,2.680965147453083,0.3333333333333333,0.0,0.0,2.680965147453083,0.3333333333333333,0.0,0.0
GiG,1017r,11,197,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017s,11,324,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017t,11,414,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1017u,11,264,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1018a,11,529,11,10,0,0,1,1,1.890359168241966,0.1,0.0,0.0,0.0,0.0,1.890359168241966,0.1
GiG,1018b,11,345,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1018c,11,452,7,6,1,0,0,1,2.2123893805309733,0.1666666666666666,2.2123893805309733,0.1666666666666666,0.0,0.0,0.0,0.0
GiG,1018d,11,303,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1018e,11,486,11,10,1,0,2,3,6.172839506172839,0.3,2.05761316872428,0.1,0.0,0.0,4.11522633744856,0.2
GiG,1019a,11,482,4,3,0,1,1,2,4.149377593360996,0.6666666666666666,0.0,0.0,2.074688796680498,0.3333333333333333,2.074688796680498,0.3333333333333333
GiG,1019b,11,378,5,4,0,0,1,1,2.6455026455026456,0.25,0.0,0.0,0.0,0.0,2.6455026455026456,0.25
GiG,1019c,11,261,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1019d,11,705,7,6,1,0,2,3,4.25531914893617,0.5,1.4184397163120568,0.1666666666666666,0.0,0.0,2.8368794326241136,0.3333333333333333
GiG,1019e,11,472,6,5,1,1,2,4,8.474576271186441,0.8,2.1186440677966103,0.2,2.1186440677966103,0.2,4.237288135593221,0.4
GiG,1019f,11,347,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1019g,11,292,6,5,0,0,1,1,3.4246575342465753,0.2,0.0,0.0,0.0,0.0,3.4246575342465753,0.2
GiG,1019h,11,302,10,9,0,0,1,1,3.3112582781456954,0.1111111111111111,0.0,0.0,0.0,0.0,3.3112582781456954,0.1111111111111111
GiG,1019i,11,198,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1019j,11,171,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1019k,11,333,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1019l,11,324,10,9,0,0,2,2,6.172839506172839,0.2222222222222222,0.0,0.0,0.0,0.0,6.172839506172839,0.2222222222222222
GiG,1019m,11,520,12,11,0,0,3,3,5.769230769230769,0.2727272727272727,0.0,0.0,0.0,0.0,5.769230769230769,0.2727272727272727
GiG,1020a,11,426,5,4,0,0,1,1,2.347417840375587,0.25,0.0,0.0,0.0,0.0,2.347417840375587,0.25
GiG,1020b,11,218,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020c,11,297,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020d,11,593,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020e,11,194,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020f,11,168,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020g,11,432,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020h,11,358,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020i,11,360,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020j,11,201,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020k,11,362,11,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020l,11,135,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1020m,11,227,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1021a,11,356,11,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1021b,11,291,6,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1021c,11,504,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1021d,11,347,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1021e,11,235,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022a,11,372,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022b,11,820,20,19,0,1,0,1,1.2195121951219512,0.0526315789473684,0.0,0.0,1.2195121951219512,0.0526315789473684,0.0,0.0
GiG,1022c,11,576,5,4,0,1,0,1,1.736111111111111,0.25,0.0,0.0,1.736111111111111,0.25,0.0,0.0
GiG,1022d,11,721,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022e,11,763,7,6,0,0,1,1,1.3106159895150722,0.1666666666666666,0.0,0.0,0.0,0.0,1.3106159895150722,0.1666666666666666
GiG,1022f,11,449,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022g,11,278,3,2,0,0,1,1,3.5971223021582737,0.5,0.0,0.0,0.0,0.0,3.5971223021582737,0.5
GiG,1022h,11,314,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022i,11,453,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022j,11,448,7,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022k,11,227,9,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022l,11,444,11,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1022m,11,186,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GiG,1023a,11,406,12,11,1,0,0,1,2.4630541871921183,0.0909090909090909,2.4630541871921183,0.0909090909090909,0.0,0.0,0.0,0.0
