text_id,analysis_level,detected_item,feature_code,macro_category,path_2,path_3,path_4,path_5,taxis,raw_count,per_1000,word_count_text,word_count_source
cn_wr_a2_23_9_14_hyn,intra_sentential_supported_v2,when,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,1,3.1948881789137378,313,parser_full_text
cn_wr_a2_23_9_14_hyn,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,3,9.584664536741213,313,parser_full_text
cn_wr_a2_24_10_14_jwt,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,3,7.874015748031496,381,parser_full_text
cn_wr_a2_24_10_14_jwt,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,4,10.498687664041995,381,parser_full_text
cn_wr_a2_24_10_14_jwt,intra_sentential_supported_v2,then,intra_enh_temp_later_para,Enhancement,Temporal,Later,paratactic,,paratactic,1,2.6246719160104988,381,parser_full_text
cn_wr_a2_24_10_14_jwt,intra_sentential_supported_v2,when,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,2,5.2493438320209975,381,parser_full_text
cn_wr_a2_24_10_14_jwt,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,5.2493438320209975,381,parser_full_text
cn_wr_a2_24_14_14_jz,intra_sentential_supported_v2,then,intra_enh_temp_later_para,Enhancement,Temporal,Later,paratactic,,paratactic,1,3.105590062111801,322,parser_full_text
cn_wr_a2_24_14_14_jz,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,6.211180124223602,322,parser_full_text
cn_wr_a2_24_6_14_cjl,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,1,3.3783783783783785,296,parser_full_text
cn_wr_a2_24_6_14_cjl,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,1,3.3783783783783785,296,parser_full_text
cn_wr_a2_24_6_14_cjl,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,6.756756756756757,296,parser_full_text
cn_wr_a2_25_21_14_zw,intra_sentential_supported_v2,and,intra_ext_add_para,Extension,Addition,paratactic,,,paratactic,1,2.331002331002331,429,parser_full_text
cn_wr_a2_25_21_14_zw,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,1,2.331002331002331,429,parser_full_text
cn_wr_a2_25_21_14_zw,intra_sentential_supported_v2,once,intra_enh_temp_later_hypo,Enhancement,Temporal,Later,hypotactic,,hypotactic,1,2.331002331002331,429,parser_full_text
cn_wr_a2_25_21_14_zw,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,2,4.662004662004662,429,parser_full_text
cn_wr_a2_25_21_14_zw,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,3,6.993006993006993,429,parser_full_text
cn_wr_a2_30_12_14_hyw,intra_sentential_supported_v2,and,intra_ext_add_para,Extension,Addition,paratactic,,,paratactic,1,2.544529262086514,393,parser_full_text
cn_wr_a2_30_12_14_hyw,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,1,2.544529262086514,393,parser_full_text
cn_wr_a2_30_12_14_hyw,intra_sentential_supported_v2,when,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,1,2.544529262086514,393,parser_full_text
cn_wr_a2_30_12_14_hyw,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,5.089058524173028,393,parser_full_text
cn_wr_b1_18_12_14_ljj,intra_sentential_supported_v2,because,intra_enh_caus_reason_hypo,Enhancement,Causal-Conditional,Reason,hypotactic,,hypotactic,1,3.472222222222222,288,parser_full_text
cn_wr_b1_18_12_14_ljj,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,1,3.472222222222222,288,parser_full_text
cn_wr_b1_18_12_14_ljj,intra_sentential_supported_v2,thus,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,1,3.472222222222222,288,parser_full_text
cn_wr_b1_18_12_14_ljj,intra_sentential_supported_v2,when,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,1,3.472222222222222,288,parser_full_text
cn_wr_b1_18_12_14_ljj,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,6.944444444444444,288,parser_full_text
cn_wr_b1_19_12_14_zxy,intra_sentential_supported_v2,because,intra_enh_caus_reason_hypo,Enhancement,Causal-Conditional,Reason,hypotactic,,hypotactic,1,3.3783783783783785,296,parser_full_text
cn_wr_b1_19_12_14_zxy,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,1,3.3783783783783785,296,parser_full_text
cn_wr_b1_19_12_14_zxy,intra_sentential_supported_v2,however,intra_enh_caus_conc_para,Enhancement,Causal-Conditional,Concessive,paratactic,,paratactic,1,3.3783783783783785,296,parser_full_text
cn_wr_b1_19_12_14_zxy,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,1,3.3783783783783785,296,parser_full_text
cn_wr_b1_19_12_14_zxy,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,6.756756756756757,296,parser_full_text
cn_wr_b1_20_11_14_pjy,intra_sentential_supported_v2,in which,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,1,2.6954177897574128,371,parser_full_text
cn_wr_b1_20_11_14_pjy,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,3,8.086253369272237,371,parser_full_text
cn_wr_b1_20_11_14_pjy,intra_sentential_supported_v2,so that,intra_enh_caus_purpose_hypo,Enhancement,Causal-Conditional,Purpose,hypotactic,,hypotactic,1,2.6954177897574128,371,parser_full_text
cn_wr_b1_20_11_14_pjy,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,3,8.086253369272237,371,parser_full_text
cn_wr_b1_20_11_14_pjy,intra_sentential_supported_v2,while,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,1,2.6954177897574128,371,parser_full_text
cn_wr_b1_21_12_14_yjj,intra_sentential_supported_v2,after,intra_enh_temp_later_hypo,Enhancement,Temporal,Later,hypotactic,,hypotactic,1,3.236245954692557,309,parser_full_text
cn_wr_b1_21_12_14_yjj,intra_sentential_supported_v2,when,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,2,6.472491909385114,309,parser_full_text
cn_wr_b1_21_12_14_yjj,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,6.472491909385114,309,parser_full_text
cn_wr_b1_21_17_14_jlh,intra_sentential_supported_v2,after,intra_enh_temp_later_hypo,Enhancement,Temporal,Later,hypotactic,,hypotactic,1,1.9607843137254901,510,parser_full_text
cn_wr_b1_21_17_14_jlh,intra_sentential_supported_v2,and,intra_ext_add_para,Extension,Addition,paratactic,,,paratactic,1,1.9607843137254901,510,parser_full_text
cn_wr_b1_21_17_14_jlh,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,2,3.9215686274509802,510,parser_full_text
cn_wr_b1_21_17_14_jlh,intra_sentential_supported_v2,then,intra_enh_temp_later_para,Enhancement,Temporal,Later,paratactic,,paratactic,1,1.9607843137254901,510,parser_full_text
cn_wr_b1_21_17_14_jlh,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,3.9215686274509802,510,parser_full_text
cn_wr_b1_21_18_14_myc,intra_sentential_supported_v2,at the same time,intra_enh_temp_sim_para,Enhancement,Temporal,Simultaneous,paratactic,,paratactic,1,2.4154589371980677,414,parser_full_text
cn_wr_b1_21_18_14_myc,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,2,4.830917874396135,414,parser_full_text
cn_wr_b1_21_18_14_myc,intra_sentential_supported_v2,earlier,intra_enh_temp_earlier_para,Enhancement,Temporal,Earlier,paratactic,,paratactic,1,2.4154589371980677,414,parser_full_text
cn_wr_b1_21_18_14_myc,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,5,12.077294685990339,414,parser_full_text
cn_wr_b1_21_18_14_myc,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,4.830917874396135,414,parser_full_text
cn_wr_b1_21_8_14_gyw,intra_sentential_supported_v2,and,intra_ext_add_para,Extension,Addition,paratactic,,,paratactic,1,3.0395136778115504,329,parser_full_text
cn_wr_b1_21_8_14_gyw,intra_sentential_supported_v2,when,intra_enh_temp_sim_hypo,Enhancement,Temporal,Simultaneous,hypotactic,,hypotactic,1,3.0395136778115504,329,parser_full_text
cn_wr_b1_21_8_14_gyw,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,6.079027355623101,329,parser_full_text
cn_wr_b1_22_13_14_cxy,intra_sentential_supported_v2,after,intra_enh_temp_later_hypo,Enhancement,Temporal,Later,hypotactic,,hypotactic,1,2.7472527472527473,364,parser_full_text
cn_wr_b1_22_13_14_cxy,intra_sentential_supported_v2,but,intra_ext_var_subtr_para,Extension,Variation,Subtractive,paratactic,,paratactic,1,2.7472527472527473,364,parser_full_text
cn_wr_b1_22_13_14_cxy,intra_sentential_supported_v2,where,intra_enh_spat_same_place_hypo,Enhancement,Spatial,Same Place,hypotactic,,hypotactic,2,5.4945054945054945,364,parser_full_text
cn_wr_b1_22_14_14_hym,intra_sentential_supported_v2,and,intra_ext_add_para,Extension,Addition,paratactic,,,paratactic,1,2.1786492374727673,459,parser_full_text
cn_wr_b1_22_14_14_hym,intra_sentential_supported_v2,so,intra_enh_caus_reason_para,Enhancement,Causal-Conditional,Reason,paratactic,,paratactic,2,4.357298474945535,459,parser_full_text
