text_id,taxis,n_cases
cn_wr_b2_30_22_14_mh,hypotactic,5
cn_wr_b2_30_22_14_mh,paratactic,5
cn_wr_b2_34_17_14_ww,hypotactic,5
cn_wr_b2_34_17_14_ww,paratactic,1
cn_wr_c1_20_13_14_lc,hypotactic,4
cn_wr_c1_20_13_14_lc,paratactic,1
cn_wr_c1_21_15_14_cyw,hypotactic,5
cn_wr_c1_21_15_14_cyw,paratactic,4
cn_wr_c1_21_9_14_hx,hypotactic,4
cn_wr_c1_21_9_14_hx,paratactic,2
cn_wr_c1_22_16_14_ihs,hypotactic,14
cn_wr_c1_22_16_14_ihs,paratactic,5
cn_wr_c1_22_17_14_cq,hypotactic,3
cn_wr_c1_22_17_14_cq,paratactic,6
cn_wr_c1_23_17_14_lc,hypotactic,4
cn_wr_c1_23_17_14_lc,paratactic,3
cn_wr_c1_24_18_14_ws,hypotactic,3
cn_wr_c1_27_17_14_rlt,hypotactic,4
cn_wr_c1_27_17_14_rlt,paratactic,1
cn_wr_c1_27_22_14_sun,hypotactic,2
cn_wr_c1_27_22_14_sun,paratactic,1
cn_wr_c1_32_10_14_cc,hypotactic,5
cn_wr_c1_32_10_14_cc,paratactic,2
cn_wr_c1_32_10_14_ln,hypotactic,5
cn_wr_c1_32_19_14_hp,hypotactic,3
cn_wr_c1_32_19_14_hp,paratactic,1
cn_wr_c1_32_22_14_hg,hypotactic,3
cn_wr_c1_32_22_14_hg,paratactic,4
cn_wr_c1_32_22_14_xt,hypotactic,6
cn_wr_c1_32_22_14_xt,paratactic,7
cn_wr_c1_32_24_14_ly,hypotactic,6
cn_wr_c1_32_24_14_ly,paratactic,3
cn_wr_c1_32_25_14_wyy,hypotactic,9
cn_wr_c1_32_25_14_wyy,paratactic,5
cn_wr_c2_21_15_14_mys,hypotactic,3
cn_wr_c2_21_15_14_mys,paratactic,2
cn_wr_c2_23_10_14_sw,hypotactic,6
cn_wr_c2_23_10_14_sw,paratactic,3
cn_wr_c2_27_19_14_ez,hypotactic,4
cn_wr_c2_31_25_14_ll,hypotactic,5
cn_wr_c2_31_25_14_ll,paratactic,2
cz_wr_a1_18_10_14_pp,hypotactic,2
cz_wr_a1_18_10_14_pp,paratactic,4
cz_wr_a2_18_10_14_dp,hypotactic,2
cz_wr_a2_18_10_14_dp,paratactic,1
cz_wr_a2_18_10_14_fc,hypotactic,3
cz_wr_a2_18_10_14_fc,paratactic,3
cz_wr_a2_18_10_14_mh,hypotactic,2
cz_wr_a2_18_10_14_mh,paratactic,1
