text_id,detected_item,n_cases
cn_wr_b1_34_8_14_gy,however,1
cn_wr_b1_34_8_14_gy,once,1
cn_wr_b1_34_8_14_gy,so,2
cn_wr_b1_34_8_14_gy,when,1
cn_wr_b1_34_8_14_gy,where,3
cn_wr_b2_16_8_14_s,after,1
cn_wr_b2_16_8_14_s,however,1
cn_wr_b2_16_8_14_s,where,2
cn_wr_b2_20_11_14_wj,and,1
cn_wr_b2_20_11_14_wj,as soon as,1
cn_wr_b2_20_11_14_wj,because,1
cn_wr_b2_20_11_14_wj,in which,1
cn_wr_b2_20_11_14_wj,meanwhile,1
cn_wr_b2_20_11_14_wj,once,1
cn_wr_b2_20_11_14_wj,so,2
cn_wr_b2_20_11_14_wj,that is,1
cn_wr_b2_20_11_14_wj,when,2
cn_wr_b2_20_11_14_wj,where,3
cn_wr_b2_20_8_14_lx,when,1
cn_wr_b2_20_8_14_lx,where,2
cn_wr_b2_20_9_14_czr,but,1
cn_wr_b2_20_9_14_czr,so,1
cn_wr_b2_20_9_14_czr,when,1
cn_wr_b2_20_9_14_czr,where,2
cn_wr_b2_21_11_14_yn,then,1
cn_wr_b2_21_11_14_yn,where,2
cn_wr_b2_21_14_14_ly,after,1
cn_wr_b2_21_14_14_ly,when,1
cn_wr_b2_21_14_14_ly,where,2
cn_wr_b2_22_10_14_lm,but,1
cn_wr_b2_22_10_14_lm,so,1
cn_wr_b2_22_10_14_lm,where,2
cn_wr_b2_22_18_14_yj,and,2
cn_wr_b2_22_18_14_yj,so,3
cn_wr_b2_22_18_14_yj,that is,1
cn_wr_b2_22_18_14_yj,where,2
cn_wr_b2_23_14_14_zhb,still,1
cn_wr_b2_23_14_14_zhb,where,2
cn_wr_b2_23_15_14_xw,and,1
cn_wr_b2_23_15_14_xw,if,1
cn_wr_b2_23_15_14_xw,when,2
cn_wr_b2_23_15_14_xw,where,2
cn_wr_b2_24_12_14_shy,after,1
cn_wr_b2_24_12_14_shy,and,1
cn_wr_b2_24_12_14_shy,because,1
cn_wr_b2_24_12_14_shy,when,1
cn_wr_b2_24_12_14_shy,where,2
cn_wr_b2_24_15_14_wh,and,2
cn_wr_b2_24_15_14_wh,as soon as,1
cn_wr_b2_24_15_14_wh,however,1
cn_wr_b2_24_15_14_wh,so,1
cn_wr_b2_24_15_14_wh,when,1
cn_wr_b2_24_15_14_wh,where,3
cn_wr_b2_24_17_14_yz,once,1
cn_wr_b2_24_17_14_yz,when,1
cn_wr_b2_24_17_14_yz,where,2
cn_wr_b2_24_17_14_yz,while,1
cn_wr_b2_24_18_14_qhs,and,1
cn_wr_b2_24_18_14_qhs,away from,1
cn_wr_b2_24_18_14_qhs,but,1
cn_wr_b2_24_18_14_qhs,where,2
cn_wr_b2_24_18_14_qhs,while,2
cn_wr_b2_24_8_14_lsx,but,3
cn_wr_b2_24_8_14_lsx,so,1
cn_wr_b2_24_8_14_lsx,when,1
cn_wr_b2_24_8_14_lsx,where,2
cn_wr_b2_26_17_14_js,along with,1
cn_wr_b2_26_17_14_js,because,1
cn_wr_b2_26_17_14_js,when,1
cn_wr_b2_26_17_14_js,where,5
cn_wr_b2_26_17_14_js,whether,1
cn_wr_b2_26_7_14_el,but,1
cn_wr_b2_26_7_14_el,where,2
cn_wr_b2_27_17_14_xy,and,1
cn_wr_b2_27_17_14_xy,away from,2
cn_wr_b2_27_17_14_xy,thus,1
cn_wr_b2_27_17_14_xy,where,2
cn_wr_b2_27_17_14_xy,while,1
cn_wr_b2_28_15_14_zkh,and,1
cn_wr_b2_28_15_14_zkh,but,1
cn_wr_b2_28_15_14_zkh,where,2
cn_wr_b2_29_20_14_xh,before,1
cn_wr_b2_29_20_14_xh,but,1
cn_wr_b2_29_20_14_xh,where,2
cn_wr_b2_29_9_14_zrx,and,1
cn_wr_b2_29_9_14_zrx,but,1
cn_wr_b2_29_9_14_zrx,so,1
cn_wr_b2_29_9_14_zrx,when,1
cn_wr_b2_29_9_14_zrx,where,2
cn_wr_b2_30_22_14_mh,after,1
cn_wr_b2_30_22_14_mh,and,2
cn_wr_b2_30_22_14_mh,but,2
cn_wr_b2_30_22_14_mh,if,1
cn_wr_b2_30_22_14_mh,once,1
cn_wr_b2_30_22_14_mh,so,1
cn_wr_b2_30_22_14_mh,where,2
cn_wr_b2_34_17_14_ww,because,1
cn_wr_b2_34_17_14_ww,so,1
cn_wr_b2_34_17_14_ww,when,2
cn_wr_b2_34_17_14_ww,where,2
cn_wr_c1_20_13_14_lc,because,2
cn_wr_c1_20_13_14_lc,so,1
cn_wr_c1_20_13_14_lc,where,2
cn_wr_c1_21_15_14_cyw,and,2
cn_wr_c1_21_15_14_cyw,assuming that,1
cn_wr_c1_21_15_14_cyw,so,2
cn_wr_c1_21_15_14_cyw,when,1
cn_wr_c1_21_15_14_cyw,where,3
cn_wr_c1_21_9_14_hx,before,1
cn_wr_c1_21_9_14_hx,but,2
cn_wr_c1_21_9_14_hx,where,3
cn_wr_c1_22_16_14_ihs,after,2
cn_wr_c1_22_16_14_ihs,although,1
cn_wr_c1_22_16_14_ihs,and,1
cn_wr_c1_22_16_14_ihs,as,3
cn_wr_c1_22_16_14_ihs,as though,1
cn_wr_c1_22_16_14_ihs,but,1
cn_wr_c1_22_16_14_ihs,hence,1
cn_wr_c1_22_16_14_ihs,if,1
cn_wr_c1_22_16_14_ihs,once,1
cn_wr_c1_22_16_14_ihs,thus,1
cn_wr_c1_22_16_14_ihs,where,3
cn_wr_c1_22_16_14_ihs,while,2
cn_wr_c1_22_16_14_ihs,yet,1
cn_wr_c1_22_17_14_cq,and,5
cn_wr_c1_22_17_14_cq,before,1
cn_wr_c1_22_17_14_cq,but,1
cn_wr_c1_22_17_14_cq,where,2
cn_wr_c1_23_17_14_lc,because,1
cn_wr_c1_23_17_14_lc,but,1
cn_wr_c1_23_17_14_lc,still,2
cn_wr_c1_23_17_14_lc,when,1
cn_wr_c1_23_17_14_lc,where,2
cn_wr_c1_24_18_14_ws,after,1
cn_wr_c1_24_18_14_ws,where,2
cn_wr_c1_27_17_14_rlt,and,1
cn_wr_c1_27_17_14_rlt,before,1
cn_wr_c1_27_17_14_rlt,where,3
cn_wr_c1_27_22_14_sun,then,1
cn_wr_c1_27_22_14_sun,where,2
cn_wr_c1_32_10_14_cc,as soon as,1
cn_wr_c1_32_10_14_cc,because,1
cn_wr_c1_32_10_14_cc,so,1
cn_wr_c1_32_10_14_cc,then,1
cn_wr_c1_32_10_14_cc,when,1
cn_wr_c1_32_10_14_cc,where,2
