,COREFL,EFCAMDAT,GiG
COREFL,1.0,1.454291237086814e-150,5.5500695682017586e-21
EFCAMDAT,1.454291237086814e-150,1.0,8.954804074675923e-26
GiG,5.5500695682017586e-21,8.954804074675923e-26,1.0
