text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,macro_extension_raw,macro_extension_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,taxis_hypotactic_raw,taxis_hypotactic_per_1000,taxis_paratactic_raw,taxis_paratactic_per_1000,intra_elab_amp_para_raw,intra_elab_amp_para_per_1000,intra_enh_caus_conc_hypo_raw,intra_enh_caus_conc_hypo_per_1000,intra_enh_caus_conc_para_raw,intra_enh_caus_conc_para_per_1000,intra_enh_caus_cond_hypo_raw,intra_enh_caus_cond_hypo_per_1000,intra_enh_temp_later_hypo_raw,intra_enh_temp_later_hypo_per_1000,intra_ext_add_para_raw,intra_ext_add_para_per_1000,intra_ext_var_subtr_para_raw,intra_ext_var_subtr_para_per_1000,intra_enh_manner_means_hypo_raw,intra_enh_manner_means_hypo_per_1000,intra_enh_caus_reason_hypo_raw,intra_enh_caus_reason_hypo_per_1000,intra_enh_temp_sim_hypo_raw,intra_enh_temp_sim_hypo_per_1000,intra_enh_temp_earlier_hypo_raw,intra_enh_temp_earlier_hypo_per_1000,intra_enh_spat_same_place_hypo_raw,intra_enh_spat_same_place_hypo_per_1000,intra_enh_caus_reason_para_raw,intra_enh_caus_reason_para_per_1000,intra_enh_spat_different_place_hypo_raw,intra_enh_spat_different_place_hypo_per_1000,intra_enh_temp_later_para_raw,intra_enh_temp_later_para_per_1000,intra_elab_exemp_para_raw,intra_elab_exemp_para_per_1000,intra_enh_spat_same_place_para_raw,intra_enh_spat_same_place_para_per_1000,intra_ext_alternation_hypo_raw,intra_ext_alternation_hypo_per_1000,intra_ext_var_repl_para_raw,intra_ext_var_repl_para_per_1000,intra_enh_temp_sim_para_raw,intra_enh_temp_sim_para_per_1000,intra_elab_amp_hypo_raw,intra_elab_amp_hypo_per_1000,intra_enh_spat_different_place_para_raw,intra_enh_spat_different_place_para_per_1000,intra_ext_var_repl_hypo_raw,intra_ext_var_repl_hypo_per_1000,intra_elab_clar_hypo_raw,intra_elab_clar_hypo_per_1000,intra_ext_add_hypo_raw,intra_ext_add_hypo_per_1000,intra_elab_clar_para_raw,intra_elab_clar_para_per_1000,intra_enh_manner_comparison_para_raw,intra_enh_manner_comparison_para_per_1000,intra_enh_caus_purpose_hypo_raw,intra_enh_caus_purpose_hypo_per_1000,intra_enh_manner_comparison_hypo_raw,intra_enh_manner_comparison_hypo_per_1000,intra_ext_var_subtr_hypo_raw,intra_ext_var_subtr_hypo_per_1000,intra_enh_temp_earlier_para_raw,intra_enh_temp_earlier_para_per_1000,intra_ext_alternation_para_raw,intra_ext_alternation_para_per_1000
gig_486b,intra_sentential_supported_v2,227,parser_full_text,3,13.215859030837004,1.0,4.405286343612335,1.0,4.405286343612335,1.0,4.405286343612335,1.0,4.405286343612335,2.0,8.81057268722467,,,,,,,,,,,1.0,4.405286343612335,,,,,,,1.0,4.405286343612335,,,,,,,,,,,1.0,4.405286343612335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_486c,intra_sentential_supported_v2,262,parser_full_text,5,19.083969465648856,2.0,7.633587786259541,1.0,3.8167938931297707,2.0,7.633587786259541,1.0,3.8167938931297707,4.0,15.267175572519083,,,,,,,1.0,3.8167938931297707,,,,,1.0,3.8167938931297707,,,,,,,,,,,1.0,3.8167938931297707,,,,,1.0,3.8167938931297707,,,,,,,,,,,,,,,,,,,1.0,3.8167938931297707,,,,,,,,,,,,
gig_486d,intra_sentential_supported_v2,308,parser_full_text,5,16.233766233766232,3.0,9.74025974025974,2.0,6.493506493506494,,,1.0,3.246753246753247,4.0,12.987012987012989,,,,,,,,,,,1.0,3.246753246753247,1.0,3.246753246753247,,,1.0,3.246753246753247,,,,,,,2.0,6.493506493506494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_487a,intra_sentential_supported_v2,129,parser_full_text,3,23.25581395348837,2.0,15.503875968992247,1.0,7.751937984496124,,,2.0,15.503875968992247,1.0,7.751937984496124,,,,,,,,,,,1.0,7.751937984496124,,,,,,,1.0,7.751937984496124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.751937984496124,,,,,,
gig_487b,intra_sentential_supported_v2,157,parser_full_text,13,82.80254777070063,10.0,63.69426751592356,1.0,6.369426751592357,2.0,12.738853503184714,7.0,44.58598726114649,6.0,38.216560509554135,1.0,6.369426751592357,,,,,3.0,19.108280254777068,,,1.0,6.369426751592357,,,,,2.0,12.738853503184714,,,,,2.0,12.738853503184714,3.0,19.108280254777068,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.369426751592357,,,,,,,,,,,,
gig_487c,intra_sentential_supported_v2,225,parser_full_text,9,40.0,7.0,31.11111111111111,2.0,8.88888888888889,,,6.0,26.666666666666668,3.0,13.333333333333334,,,,,,,1.0,4.444444444444445,,,2.0,8.88888888888889,,,,,5.0,22.22222222222222,,,,,,,1.0,4.444444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_487d,intra_sentential_supported_v2,214,parser_full_text,3,14.018691588785046,2.0,9.345794392523365,1.0,4.672897196261682,,,1.0,4.672897196261682,2.0,9.345794392523365,,,,,,,,,,,1.0,4.672897196261682,,,,,,,1.0,4.672897196261682,,,,,,,,,1.0,4.672897196261682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_488a,intra_sentential_supported_v2,237,parser_full_text,2,8.438818565400844,2.0,8.438818565400844,,,,,2.0,8.438818565400844,,,,,,,,,,,,,,,,,,,1.0,4.219409282700422,1.0,4.219409282700422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gig_488b,intra_sentential_supported_v2,248,parser_full_text,7,28.225806451612904,6.0,24.193548387096772,,,1.0,4.032258064516129,5.0,20.161290322580644,2.0,8.064516129032258,,,,,,,,,,,,,,,,,1.0,4.032258064516129,1.0,4.032258064516129,,,,,1.0,4.032258064516129,1.0,4.032258064516129,,,1.0,4.032258064516129,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.064516129032258,,,,,,
gig_488c,intra_sentential_supported_v2,225,parser_full_text,12,53.333333333333336,9.0,40.0,1.0,4.444444444444445,2.0,8.88888888888889,8.0,35.55555555555556,4.0,17.77777777777778,,,,,,,,,,,1.0,4.444444444444445,,,,,4.0,17.77777777777778,,,,,3.0,13.333333333333334,1.0,4.444444444444445,1.0,4.444444444444445,,,2.0,8.88888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
