text_id,analysis_level,word_count_text,word_count_source,detected_cases_raw,detected_cases_per_1000,macro_extension_raw,macro_extension_per_1000,macro_enhancement_raw,macro_enhancement_per_1000,taxis_paratactic_raw,taxis_paratactic_per_1000,taxis_hypotactic_raw,taxis_hypotactic_per_1000,intra_enh_spat_same_place_hypo_raw,intra_enh_spat_same_place_hypo_per_1000,intra_ext_add_para_raw,intra_ext_add_para_per_1000,intra_enh_caus_reason_para_raw,intra_enh_caus_reason_para_per_1000,intra_enh_temp_sim_hypo_raw,intra_enh_temp_sim_hypo_per_1000,intra_enh_temp_later_para_raw,intra_enh_temp_later_para_per_1000,intra_ext_var_subtr_para_raw,intra_ext_var_subtr_para_per_1000,intra_enh_caus_conc_para_raw,intra_enh_caus_conc_para_per_1000,intra_enh_temp_earlier_hypo_raw,intra_enh_temp_earlier_hypo_per_1000,intra_enh_temp_later_hypo_raw,intra_enh_temp_later_hypo_per_1000,intra_ext_alternation_hypo_raw,intra_ext_alternation_hypo_per_1000,intra_enh_caus_reason_hypo_raw,intra_enh_caus_reason_hypo_per_1000,intra_enh_caus_purpose_hypo_raw,intra_enh_caus_purpose_hypo_per_1000,intra_enh_temp_earlier_para_raw,intra_enh_temp_earlier_para_per_1000,intra_enh_temp_sim_para_raw,intra_enh_temp_sim_para_per_1000,intra_enh_caus_conc_hypo_raw,intra_enh_caus_conc_hypo_per_1000,intra_enh_caus_cond_hypo_raw,intra_enh_caus_cond_hypo_per_1000,intra_enh_spat_same_place_para_raw,intra_enh_spat_same_place_para_per_1000,intra_enh_spat_different_place_hypo_raw,intra_enh_spat_different_place_hypo_per_1000,macro_elaboration_raw,macro_elaboration_per_1000,intra_elab_clar_para_raw,intra_elab_clar_para_per_1000,intra_ext_add_hypo_raw,intra_ext_add_hypo_per_1000,intra_enh_manner_comparison_hypo_raw,intra_enh_manner_comparison_hypo_per_1000,intra_elab_exemp_para_raw,intra_elab_exemp_para_per_1000,intra_ext_var_repl_para_raw,intra_ext_var_repl_para_per_1000,intra_elab_amp_para_raw,intra_elab_amp_para_per_1000,intra_enh_spat_different_place_para_raw,intra_enh_spat_different_place_para_per_1000,intra_ext_var_subtr_hypo_raw,intra_ext_var_subtr_hypo_per_1000,intra_ext_var_repl_hypo_raw,intra_ext_var_repl_hypo_per_1000,intra_elab_amp_hypo_raw,intra_elab_amp_hypo_per_1000,intra_elab_clar_hypo_raw,intra_elab_clar_hypo_per_1000,intra_enh_manner_comparison_para_raw,intra_enh_manner_comparison_para_per_1000,intra_enh_manner_means_hypo_raw,intra_enh_manner_means_hypo_per_1000
cn_wr_a1_24_11_14_jw,intra_sentential_supported_v2,293,parser_full_text,4,13.651877133105803,2.0,6.825938566552901,2,6.825938566552901,2.0,6.825938566552901,2,6.825938566552901,2,6.825938566552901,2.0,6.825938566552901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a1_24_13_14_lcx,intra_sentential_supported_v2,311,parser_full_text,6,19.29260450160772,1.0,3.215434083601286,5,16.07717041800643,2.0,6.430868167202572,4,12.861736334405144,2,6.430868167202572,1.0,3.215434083601286,1.0,3.215434083601286,2.0,6.430868167202572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_19_10_14_y,intra_sentential_supported_v2,295,parser_full_text,4,13.559322033898304,,,4,13.559322033898304,1.0,3.389830508474576,3,10.169491525423728,2,6.779661016949152,,,,,1.0,3.389830508474576,1.0,3.389830508474576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_20_12_14_lyl,intra_sentential_supported_v2,323,parser_full_text,4,12.38390092879257,,,4,12.38390092879257,2.0,6.191950464396285,2,6.191950464396285,2,6.191950464396285,,,2.0,6.191950464396285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_13_14_whd,intra_sentential_supported_v2,282,parser_full_text,3,10.638297872340425,1.0,3.5460992907801416,2,7.092198581560283,1.0,3.5460992907801416,2,7.092198581560283,2,7.092198581560283,,,,,,,,,1.0,3.5460992907801416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_17_14_d,intra_sentential_supported_v2,766,parser_full_text,21,27.41514360313316,4.0,5.221932114882507,17,22.193211488250654,7.0,9.138381201044387,14,18.276762402088774,3,3.9164490861618795,1.0,1.3054830287206267,3.0,3.9164490861618795,3.0,3.9164490861618795,,,2.0,2.6109660574412534,1.0,1.3054830287206267,1.0,1.3054830287206267,6.0,7.832898172323759,1.0,1.3054830287206267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_17_14_xdm,intra_sentential_supported_v2,273,parser_full_text,6,21.978021978021978,3.0,10.989010989010989,3,10.989010989010989,4.0,14.652014652014651,2,7.326007326007326,2,7.326007326007326,2.0,7.326007326007326,1.0,3.663003663003663,,,,,1.0,3.663003663003663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_23_9_14_hyn,intra_sentential_supported_v2,313,parser_full_text,4,12.779552715654951,,,4,12.779552715654951,,,4,12.779552715654951,3,9.584664536741213,,,,,1.0,3.1948881789137378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_24_10_14_jwt,intra_sentential_supported_v2,381,parser_full_text,12,31.496062992125985,3.0,7.874015748031496,9,23.62204724409449,8.0,20.99737532808399,4,10.498687664041995,2,5.2493438320209975,,,4.0,10.498687664041995,2.0,5.2493438320209975,1.0,2.6246719160104988,3.0,7.874015748031496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cn_wr_a2_24_14_14_jz,intra_sentential_supported_v2,322,parser_full_text,3,9.316770186335404,,,3,9.316770186335404,1.0,3.105590062111801,2,6.211180124223602,2,6.211180124223602,,,,,,,1.0,3.105590062111801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
